id,name_cn,roster,tier,cost,countInPack,prefab,size,life,damage,attackStrength,moveSpeed,isFly,radius,skillId,skillKind,skillDamage,attackRange,minAttackRange,attackInterval,splashRange,vsGround,vsAir,vsAirTech
24,狼蛛,main,1,200,1,Mech_Default_24,Medium,14773,496,3,8,False,12.0,24001,projectileSkillDatas,,80.0,0.0,0.6,5.0,True,False,True
25,鬼鳐,main,2,200,3,Mech_Default_25,Medium,3412,1087,3,16,True,8.0,25001,projectileSkillDatas,,65.0,0.0,3.0,3.0,True,True,False
26,先知,main,2,300,1,Mech_Default_26,Medium,11991,1348,3,16,False,11.0,26001,projectileSkillDatas,,125.0,0.0,2.0,8.0,True,True,False
27,雷霆,main,3,400,1,Mech_Default_27,Huge,16065,5027,3,10,True,13.0,27001,skillDatas,,110.0,0.0,4.6,0.0,True,True,False
28,猎犬,main,1,100,5,Mech_Default_28,Small,879,246,3,10,False,4.0,28001,projectileSkillDatas,,70.0,0.0,2.4,6.0,True,False,False
29,深渊,main,4,800,1,Mech_Default_29,Huge,66955,3859,3,10,True,30.0,29001,sweepSkillDatas,,100.0,0.0,4.0,0.0,True,True,False
30,魔眼,main,1,100,3,Mech_Default_30,Small,1522,995,3,8,False,4.0,30001,projectileSkillDatas,,100.0,0.0,3.3,0.0,True,False,True
31,磁暴,main,1,100,1,Mech_Default_31,Medium,7425,1309,3,8,False,9.0,31001,skillDatas,,85.0,0.0,1.5,0.0,True,False,False
51,试验级堡垒,survive,0,1000,1,Mech_Default_151,Huge,153615,20529,3,6,False,35.0,51001,projectileSkillDatas,,140.0,0.0,2.0,4.5,True,False,False
52,试验级长弓,survive,0,250,1,Mech_Default_52,Medium,4866,6987,3,8,False,10.0,52001,projectileSkillDatas,,140.0,0.0,3.1,0.0,True,True,False
53,试验级火神,survive,0,400,1,Mech_Default_53,Huge,15140,150,3,6,False,8.0,53001,projectileSkillDatas,,95.0,0.0,0.1,10.0,True,False,False
54,丧钟,survive,0,1000,1,Mech_Default_54,Huge,123306,426,3,6,False,35.0,54001,laserSkillDatas,,115.0,0.0,0.2,3.0,True,True,False
55,试验级犀牛,survive,0,500,1,Mech_Default_55,Medium,57891,9891,3,16,False,15.0,55001,skillDatas,,12.0,0.0,0.9,12.0,True,False,False
56,试验级兵蜂,survive,0,500,6,Mech_Default_56,Small,1649,828,3,16,True,7.0,56001,projectileSkillDatas,,50.0,0.0,1.0,0.0,True,True,False
57,试验级野马,survive,0,500,4,Mech_Default_57,Small,3087,324,3,16,False,8.0,57001,projectileSkillDatas,,95.0,0.0,0.4,0.0,True,True,False
58,试验级钢球,survive,0,500,1,Mech_Default_58,Medium,41139,495,3,16,False,13.0,58001,laserSkillDatas,,45.0,0.0,0.2,0.0,True,False,False
59,试验级尖牙,survive,0,250,3,Mech_Default_59,Small,3285,637,3,6,False,8.0,59001,projectileSkillDatas,,90.0,0.0,1.0,0.0,True,True,False
60,试验级爬虫,survive,0,250,4,Mech_Default_60,Small,5523,1659,3,16,False,8.0,60001,skillDatas,,6.0,0.0,1.0,0.0,True,False,False
61,试验级霸主,survive,0,1000,1,Mech_Default_61,Huge,46890,14226,3,10,True,35.0,61001,projectileSkillDatas,,110.0,0.0,4.0,7.5,True,True,False
62,试验级暴雨,survive,0,500,1,Mech_Default_62,Medium,13788,3088,3,6,False,12.0,62001,projectileSkillDatas,,180.0,70.0,6.3,5.5,True,False,False
63,试验级铁锤,survive,0,500,2,Mech_Default_63,Medium,26085,4560,3,7,False,8.0,63001,projectileSkillDatas,,95.0,0.0,4.5,5.0,True,False,False
64,试验级骇客,survive,0,500,1,Mech_Default_64,Medium,9747,1755,3,8,False,13.0,64001,controllBeamSkillDatas,,110.0,0.0,0.3,0.0,True,True,True
65,试验级弧光,survive,0,300,1,Mech_Default_65,Medium,14439,1095,3,7,False,12.0,65001,projectileSkillDatas,,93.0,0.0,1.0,7.0,True,False,True
66,试验级凤凰,survive,0,500,6,Mech_Default_66,Medium,1464,3073,3,16,True,4.0,66001,projectileSkillDatas,,120.0,0.0,3.2,0.0,True,True,False
67,试验级战争工厂,survive,0,2000,1,Mech_Default_67,Huge,340779,22560,3,6,False,50.0,67001,projectileSkillDatas,,110.0,0.0,1.8,4.5,True,False,False
68,试验级恶灵,survive,0,750,1,Mech_Default_68,Medium,47373,1344,3,10,True,15.0,68003,projectileSkillDatas,,55.0,0.0,1.6,8.0,True,True,False
69,试验级狂蝎,survive,0,750,1,Mech_Default_69,Medium,55896,31950,3,6,False,15.0,69001,projectileSkillDatas,,110.0,0.0,4.5,20.0,True,False,False
70,试验级火獾,survive,0,500,1,Mech_Default_70,Medium,37998,243,3,9,False,13.0,70001,projectileSkillDatas,,60.0,0.0,0.1,9.0,True,False,False
71,试验级剑齿虎,survive,0,500,1,Mech_Default_71,Medium,44658,20643,3,7,False,13.0,71001,projectileSkillDatas,,95.0,0.0,3.0,7.0,True,False,True
72,试验级台风,survive,0,750,1,Mech_Default_72,Medium,57174,528,3,9,False,13.0,72001,projectileSkillDatas,,100.0,0.0,0.2,5.0,True,True,False
73,试验级沙虫,survive,0,1000,1,Mech_Default_73,Huge,145935,14589,3,16,False,35.0,73001,skillDatas,,100.0,0.0,1.3,18.0,True,False,True
101,补给船,survive,0,0,1,Mech_Default_101,Huge,14140,0,3,0,False,7.0,0,,,,,,,,,False
153,试验级火神B型,survive,0,1000,1,Mech_Default_153,Huge,90837,225,3,6,False,35.0,153001,projectileSkillDatas,,95.0,0.0,0.1,12.0,True,False,True
167,试验级战争工厂,survive,0,2000,1,Mech_Default_67,Huge,9855,1911,3,6,False,50.0,67001,projectileSkillDatas,,110.0,0.0,1.8,4.5,True,False,False
168,试验级恶灵,survive,0,750,1,Mech_Default_68,Medium,47373,1344,3,10,True,15.0,68003,projectileSkillDatas,,55.0,0.0,1.6,8.0,True,True,False
1001,幼虫,summon,0,200,2,Mech_Default_1001,Medium,5746,1027,3,16,False,5.0,1001001,skillDatas,,30.0,0.0,2.0,6.0,True,False,False
1002,蜘蛛雷,summon,0,34,6,Mech_Default_1002,Small,750,2500,3,24,False,2.64,1002001,explosionSkillDatas,,1.0,0.0,0.0,12.0,True,False,False
2001,丧钟,special,0,800,1,Mech_Default_2001,Huge,125512,207,3,6,False,35.0,2001001,laserSkillDatas,,115.0,0.0,0.2,3.0,True,True,False
2002,泰山,main,4,800,1,Mech_Default_51,Huge,136657,5899,3,6,False,35.0,2002001,projectileSkillDatas,,100.0,0.0,2.0,5.0,True,False,True
4001,试验级丧钟,special,1,300,1,Mech_Default_4001,Huge,23237,45,3,6,False,14.0,400103,laserSkillDatas,,115.0,0.0,0.2,0.0,True,True,False
